07-Apr-2024-10-04-16 --- args ---
The attention method is self_relation-attention, learning rate: 0.1
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 1
Label: 5, Pred: 5
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 2, Pred: 2
Label: 2, Pred: 1
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 3, Pred: 3
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 4
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 2, Pred: 1
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 3, Pred: 3
Label: 3, Pred: 2
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 4, Pred: 1
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 1
Label: 5, Pred: 3
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 1, Pred: 1
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 3, Pred: 1
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 4, Pred: 4
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 1, Pred: 1
Label: 1, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 2
 *Acc@Video 90.291 
